model,scale,probe,task,metric,value,auc_undefined,kind,source
ESM-2 35M,35M,knn,Peptide-HLA Binding,AUC,0.7496,False,suite,
ESM-2 35M,35M,knn,Temperature Stability,Accuracy,0.8613,True,suite,
ESM-2 35M,35M,knn,Subcellular Localisation,AUC,0.8015,False,suite,
ESM-2 35M,35M,knn,Stability (Biomap),Spearman,0.6435,False,suite,
ESM-2 35M,35M,knn,Solubility (DeepSol),AUC,0.5321,False,suite,
ESM-2 35M,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.978,False,suite,
ESM-2 35M,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.421,False,suite,
ESM-2 35M,35M,knn,Remote Homology (Fold),Accuracy,0.5835,True,suite,
ESM-2 35M,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9579,False,suite,
ESM-2 35M,35M,knn,Optimal pH,Spearman,0.5821,False,suite,
ESM-2 35M,35M,knn,AAV Fitness (FLIP),Spearman,0.4667,False,suite,
ESM-2 35M,35M,knn,Material Production,AUC,0.7684,False,suite,
ESM-2 35M,35M,knn,Molecular Function (GO),F1_Macro,0.459,False,suite,
ESM-2 35M,35M,knn,Fluorescence (TAPE),Spearman,0.3736,False,suite,
ESM-2 35M,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6915,False,suite,
ESM-2 35M,35M,knn,EC Classification,F1_Macro,0.5984,False,suite,
ESM-2 35M,35M,knn,Cloning Classification,Spearman,0.3906,False,suite,
ESM-2 35M,35M,knn,Binary Subcellular Localization,AUC,0.881,False,suite,
ESM-2 35M,35M,knn,beta-lactamase-PEER,Spearman,0.7272,False,suite,
ESM-2 35M,35M,knn,Antibiotic Resistance,Accuracy,0.9673,True,suite,
ESM-2 35M,35M,knn,Thermostability (FLIP),Spearman,0.4449,False,suite,
ESM-2 35M,35M,knn,Metal Ion Binding,AUC,0.7957,False,suite,
ESM-2 35M,35M,knn,Variant Effect (GB1),Spearman,0.6582,False,suite,
ESM-2 35M,35M,linear,AAV Fitness (FLIP),Spearman,0.5639,False,suite,
ESM-2 35M,35M,linear,Temperature Stability,Accuracy,0.8973,True,suite,
ESM-2 35M,35M,linear,Subcellular Localisation,AUC,0.9116,False,suite,
ESM-2 35M,35M,linear,Stability (Biomap),Spearman,0.4395,False,suite,
ESM-2 35M,35M,linear,Solubility (DeepSol),AUC,0.6963,False,suite,
ESM-2 35M,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9942,False,suite,
ESM-2 35M,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.421,False,suite,
ESM-2 35M,35M,linear,Remote Homology (Fold),Accuracy,0.6868,True,suite,
ESM-2 35M,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9748,False,suite,
ESM-2 35M,35M,linear,Peptide-HLA Binding,AUC,0.8628,False,suite,
ESM-2 35M,35M,linear,Thermostability (FLIP),Spearman,0.5413,False,suite,
ESM-2 35M,35M,linear,Optimal pH,Spearman,0.4864,False,suite,
ESM-2 35M,35M,linear,Material Production,AUC,0.8399,False,suite,
ESM-2 35M,35M,linear,Molecular Function (GO),F1_Macro,0.459,False,suite,
ESM-2 35M,35M,linear,Fluorescence (TAPE),Spearman,0.5913,False,suite,
ESM-2 35M,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5456,False,suite,
ESM-2 35M,35M,linear,EC Classification,F1_Macro,0.5984,False,suite,
ESM-2 35M,35M,linear,Cloning Classification,Spearman,0.478,False,suite,
ESM-2 35M,35M,linear,Binary Subcellular Localization,AUC,0.9572,False,suite,
ESM-2 35M,35M,linear,beta-lactamase-PEER,Spearman,0.6639,False,suite,
ESM-2 35M,35M,linear,Antibiotic Resistance,Accuracy,0.9755,True,suite,
ESM-2 35M,35M,linear,Metal Ion Binding,AUC,0.7903,False,suite,
ESM-2 35M,35M,linear,Variant Effect (GB1),Spearman,0.8163,False,suite,
ProtSent-V1,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9584,False,suite,
ProtSent-V1,35M,knn,Remote Homology (Fold),Accuracy,0.6587,True,suite,
ProtSent-V1,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.5509,False,suite,
ProtSent-V1,35M,knn,Temperature Stability,Accuracy,0.8375,True,suite,
ProtSent-V1,35M,knn,Solubility (DeepSol),AUC,0.5413,False,suite,
ProtSent-V1,35M,knn,Stability (Biomap),Spearman,0.5638,False,suite,
ProtSent-V1,35M,knn,Subcellular Localisation,AUC,0.8246,False,suite,
ProtSent-V1,35M,knn,Peptide-HLA Binding,AUC,0.786,False,suite,
ProtSent-V1,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9777,False,suite,
ProtSent-V1,35M,knn,Optimal pH,Spearman,0.5742,False,suite,
ProtSent-V1,35M,knn,EC Classification,F1_Macro,0.5617,False,suite,
ProtSent-V1,35M,knn,Material Production,AUC,0.7716,False,suite,
ProtSent-V1,35M,knn,Molecular Function (GO),F1_Macro,0.4434,False,suite,
ProtSent-V1,35M,knn,Fluorescence (TAPE),Spearman,0.451,False,suite,
ProtSent-V1,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6826,False,suite,
ProtSent-V1,35M,knn,Cloning Classification,Spearman,0.3774,False,suite,
ProtSent-V1,35M,knn,Binary Subcellular Localization,AUC,0.9089,False,suite,
ProtSent-V1,35M,knn,beta-lactamase-PEER,Spearman,0.7676,False,suite,
ProtSent-V1,35M,knn,Antibiotic Resistance,Accuracy,0.9583,True,suite,
ProtSent-V1,35M,knn,AAV Fitness (FLIP),Spearman,0.5553,False,suite,
ProtSent-V1,35M,knn,Thermostability (FLIP),Spearman,0.4754,False,suite,
ProtSent-V1,35M,knn,Metal Ion Binding,AUC,0.8015,False,suite,
ProtSent-V1,35M,knn,Variant Effect (GB1),Spearman,0.7107,False,suite,
ProtSent-V1,35M,linear,AAV Fitness (FLIP),Spearman,0.4362,False,suite,
ProtSent-V1,35M,linear,Temperature Stability,Accuracy,0.8779,True,suite,
ProtSent-V1,35M,linear,Subcellular Localisation,AUC,0.9057,False,suite,
ProtSent-V1,35M,linear,Stability (Biomap),Spearman,0.511,False,suite,
ProtSent-V1,35M,linear,Solubility (DeepSol),AUC,0.6929,False,suite,
ProtSent-V1,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9949,False,suite,
ProtSent-V1,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.5509,False,suite,
ProtSent-V1,35M,linear,Remote Homology (Fold),Accuracy,0.6899,True,suite,
ProtSent-V1,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9763,False,suite,
ProtSent-V1,35M,linear,Peptide-HLA Binding,AUC,0.8187,False,suite,
ProtSent-V1,35M,linear,Thermostability (FLIP),Spearman,0.566,False,suite,
ProtSent-V1,35M,linear,Optimal pH,Spearman,0.474,False,suite,
ProtSent-V1,35M,linear,Material Production,AUC,0.8244,False,suite,
ProtSent-V1,35M,linear,Molecular Function (GO),F1_Macro,0.4434,False,suite,
ProtSent-V1,35M,linear,Fluorescence (TAPE),Spearman,0.5912,False,suite,
ProtSent-V1,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5122,False,suite,
ProtSent-V1,35M,linear,EC Classification,F1_Macro,0.5617,False,suite,
ProtSent-V1,35M,linear,Cloning Classification,Spearman,0.442,False,suite,
ProtSent-V1,35M,linear,Binary Subcellular Localization,AUC,0.9404,False,suite,
ProtSent-V1,35M,linear,beta-lactamase-PEER,Spearman,0.5762,False,suite,
ProtSent-V1,35M,linear,Antibiotic Resistance,Accuracy,0.965,True,suite,
ProtSent-V1,35M,linear,Metal Ion Binding,AUC,0.7599,False,suite,
ProtSent-V1,35M,linear,Variant Effect (GB1),Spearman,0.8247,False,suite,
ProtSent-V2,35M,knn,AAV Fitness (FLIP),Spearman,0.5154,False,suite,
ProtSent-V2,35M,knn,Temperature Stability,Accuracy,0.8514,True,suite,
ProtSent-V2,35M,knn,Subcellular Localisation,AUC,0.8294,False,suite,
ProtSent-V2,35M,knn,Stability (Biomap),Spearman,0.5961,False,suite,
ProtSent-V2,35M,knn,Solubility (DeepSol),AUC,0.5426,False,suite,
ProtSent-V2,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.984,False,suite,
ProtSent-V2,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.6459,False,suite,
ProtSent-V2,35M,knn,Remote Homology (Fold),Accuracy,0.6668,True,suite,
ProtSent-V2,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9601,False,suite,
ProtSent-V2,35M,knn,Peptide-HLA Binding,AUC,0.8022,False,suite,
ProtSent-V2,35M,knn,Thermostability (FLIP),Spearman,0.4367,False,suite,
ProtSent-V2,35M,knn,Optimal pH,Spearman,0.5756,False,suite,
ProtSent-V2,35M,knn,Material Production,AUC,0.7653,False,suite,
ProtSent-V2,35M,knn,Molecular Function (GO),F1_Macro,0.4547,False,suite,
ProtSent-V2,35M,knn,Fluorescence (TAPE),Spearman,0.4568,False,suite,
ProtSent-V2,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6687,False,suite,
ProtSent-V2,35M,knn,EC Classification,F1_Macro,0.5924,False,suite,
ProtSent-V2,35M,knn,Cloning Classification,Spearman,0.3791,False,suite,
ProtSent-V2,35M,knn,Binary Subcellular Localization,AUC,0.8884,False,suite,
ProtSent-V2,35M,knn,beta-lactamase-PEER,Spearman,0.7153,False,suite,
ProtSent-V2,35M,knn,Antibiotic Resistance,Accuracy,0.965,True,suite,
ProtSent-V2,35M,knn,Metal Ion Binding,AUC,0.8158,False,suite,
ProtSent-V2,35M,knn,Variant Effect (GB1),Spearman,0.7806,False,suite,
ProtSent-V2,35M,linear,AAV Fitness (FLIP),Spearman,0.2471,False,suite,
ProtSent-V2,35M,linear,Temperature Stability,Accuracy,0.8963,True,suite,
ProtSent-V2,35M,linear,Subcellular Localisation,AUC,0.8921,False,suite,
ProtSent-V2,35M,linear,Stability (Biomap),Spearman,0.3878,False,suite,
ProtSent-V2,35M,linear,Solubility (DeepSol),AUC,0.6976,False,suite,
ProtSent-V2,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9957,False,suite,
ProtSent-V2,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.6459,False,suite,
ProtSent-V2,35M,linear,Remote Homology (Fold),Accuracy,0.7016,True,suite,
ProtSent-V2,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9594,False,suite,
ProtSent-V2,35M,linear,Peptide-HLA Binding,AUC,0.8579,False,suite,
ProtSent-V2,35M,linear,Thermostability (FLIP),Spearman,0.5564,False,suite,
ProtSent-V2,35M,linear,Optimal pH,Spearman,0.4845,False,suite,
ProtSent-V2,35M,linear,Material Production,AUC,0.8225,False,suite,
ProtSent-V2,35M,linear,Molecular Function (GO),F1_Macro,0.4547,False,suite,
ProtSent-V2,35M,linear,Fluorescence (TAPE),Spearman,0.5883,False,suite,
ProtSent-V2,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5002,False,suite,
ProtSent-V2,35M,linear,EC Classification,F1_Macro,0.5924,False,suite,
ProtSent-V2,35M,linear,Cloning Classification,Spearman,0.4257,False,suite,
ProtSent-V2,35M,linear,Binary Subcellular Localization,AUC,0.9093,False,suite,
ProtSent-V2,35M,linear,beta-lactamase-PEER,Spearman,0.6086,False,suite,
ProtSent-V2,35M,linear,Antibiotic Resistance,Accuracy,0.9665,True,suite,
ProtSent-V2,35M,linear,Metal Ion Binding,AUC,0.7466,False,suite,
ProtSent-V2,35M,linear,Variant Effect (GB1),Spearman,0.8126,False,suite,
ProtSent-V2.5,35M,knn,AAV Fitness (FLIP),Spearman,0.4945,False,suite,
ProtSent-V2.5,35M,knn,Temperature Stability,Accuracy,0.8514,True,suite,
ProtSent-V2.5,35M,knn,Subcellular Localisation,AUC,0.8173,False,suite,
ProtSent-V2.5,35M,knn,Stability (Biomap),Spearman,0.5989,False,suite,
ProtSent-V2.5,35M,knn,Solubility (DeepSol),AUC,0.5413,False,suite,
ProtSent-V2.5,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9829,False,suite,
ProtSent-V2.5,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.6521,False,suite,
ProtSent-V2.5,35M,knn,Remote Homology (Fold),Accuracy,0.664,True,suite,
ProtSent-V2.5,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9549,False,suite,
ProtSent-V2.5,35M,knn,Peptide-HLA Binding,AUC,0.8033,False,suite,
ProtSent-V2.5,35M,knn,Thermostability (FLIP),Spearman,0.4675,False,suite,
ProtSent-V2.5,35M,knn,Optimal pH,Spearman,0.5655,False,suite,
ProtSent-V2.5,35M,knn,Material Production,AUC,0.7662,False,suite,
ProtSent-V2.5,35M,knn,Molecular Function (GO),F1_Macro,0.4506,False,suite,
ProtSent-V2.5,35M,knn,Fluorescence (TAPE),Spearman,0.4669,False,suite,
ProtSent-V2.5,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6745,False,suite,
ProtSent-V2.5,35M,knn,EC Classification,F1_Macro,0.5956,False,suite,
ProtSent-V2.5,35M,knn,Cloning Classification,Spearman,0.3928,False,suite,
ProtSent-V2.5,35M,knn,Binary Subcellular Localization,AUC,0.8966,False,suite,
ProtSent-V2.5,35M,knn,beta-lactamase-PEER,Spearman,0.7305,False,suite,
ProtSent-V2.5,35M,knn,Antibiotic Resistance,Accuracy,0.9635,True,suite,
ProtSent-V2.5,35M,knn,Metal Ion Binding,AUC,0.8,False,suite,
ProtSent-V2.5,35M,knn,Variant Effect (GB1),Spearman,0.7796,False,suite,
ProtSent-V2.5,35M,linear,AAV Fitness (FLIP),Spearman,0.3204,False,suite,
ProtSent-V2.5,35M,linear,Temperature Stability,Accuracy,0.897,True,suite,
ProtSent-V2.5,35M,linear,Subcellular Localisation,AUC,0.8903,False,suite,
ProtSent-V2.5,35M,linear,Stability (Biomap),Spearman,0.4824,False,suite,
ProtSent-V2.5,35M,linear,Solubility (DeepSol),AUC,0.6901,False,suite,
ProtSent-V2.5,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9948,False,suite,
ProtSent-V2.5,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.6521,False,suite,
ProtSent-V2.5,35M,linear,Remote Homology (Fold),Accuracy,0.7047,True,suite,
ProtSent-V2.5,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9625,False,suite,
ProtSent-V2.5,35M,linear,Peptide-HLA Binding,AUC,0.859,False,suite,
ProtSent-V2.5,35M,linear,Thermostability (FLIP),Spearman,0.5459,False,suite,
ProtSent-V2.5,35M,linear,Optimal pH,Spearman,0.4598,False,suite,
ProtSent-V2.5,35M,linear,Material Production,AUC,0.8223,False,suite,
ProtSent-V2.5,35M,linear,Molecular Function (GO),F1_Macro,0.4506,False,suite,
ProtSent-V2.5,35M,linear,Fluorescence (TAPE),Spearman,0.6031,False,suite,
ProtSent-V2.5,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5017,False,suite,
ProtSent-V2.5,35M,linear,EC Classification,F1_Macro,0.5956,False,suite,
ProtSent-V2.5,35M,linear,Cloning Classification,Spearman,0.4338,False,suite,
ProtSent-V2.5,35M,linear,Binary Subcellular Localization,AUC,0.8965,False,suite,
ProtSent-V2.5,35M,linear,beta-lactamase-PEER,Spearman,0.6195,False,suite,
ProtSent-V2.5,35M,linear,Antibiotic Resistance,Accuracy,0.9695,True,suite,
ProtSent-V2.5,35M,linear,Metal Ion Binding,AUC,0.7408,False,suite,
ProtSent-V2.5,35M,linear,Variant Effect (GB1),Spearman,0.8254,False,suite,
ProtSent-V2.5-noGOR,35M,knn,AAV Fitness (FLIP),Spearman,0.4821,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Temperature Stability,Accuracy,0.8518,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Subcellular Localisation,AUC,0.8212,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Stability (Biomap),Spearman,0.609,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Solubility (DeepSol),AUC,0.5454,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9815,False,suite,
ProtSent-V2.5-noGOR,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.6528,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Remote Homology (Fold),Accuracy,0.6646,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9564,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Peptide-HLA Binding,AUC,0.8029,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Thermostability (FLIP),Spearman,0.4516,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Optimal pH,Spearman,0.5613,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Material Production,AUC,0.7641,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Molecular Function (GO),F1_Macro,0.4532,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Fluorescence (TAPE),Spearman,0.462,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6749,False,suite,
ProtSent-V2.5-noGOR,35M,knn,EC Classification,F1_Macro,0.5962,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Cloning Classification,Spearman,0.3912,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Binary Subcellular Localization,AUC,0.8954,False,suite,
ProtSent-V2.5-noGOR,35M,knn,beta-lactamase-PEER,Spearman,0.7261,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Antibiotic Resistance,Accuracy,0.9628,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Metal Ion Binding,AUC,0.8014,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Variant Effect (GB1),Spearman,0.791,False,suite,
ProtSent-V2.5-noGOR,35M,linear,AAV Fitness (FLIP),Spearman,0.2998,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Temperature Stability,Accuracy,0.8974,True,suite,
ProtSent-V2.5-noGOR,35M,linear,Subcellular Localisation,AUC,0.8892,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Stability (Biomap),Spearman,0.4941,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Solubility (DeepSol),AUC,0.693,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9952,False,suite,
ProtSent-V2.5-noGOR,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.6528,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Remote Homology (Fold),Accuracy,0.7056,True,suite,
ProtSent-V2.5-noGOR,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9637,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Peptide-HLA Binding,AUC,0.8578,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Thermostability (FLIP),Spearman,0.5515,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Optimal pH,Spearman,0.4598,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Material Production,AUC,0.8228,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Molecular Function (GO),F1_Macro,0.4532,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Fluorescence (TAPE),Spearman,0.5955,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5075,False,suite,
ProtSent-V2.5-noGOR,35M,linear,EC Classification,F1_Macro,0.5962,False,suite,
