batch_size,mini_batch_size,score_mini_batch_size,pairs_per_s,steps_per_s,peak_vram_gb,gpu,steps
16,16,8,40.63,2.5395,3.55,A100-80GB,15
32,16,8,57.23,1.7884,3.55,A100-80GB,15
64,16,8,74.43,1.1629,3.55,A100-80GB,15
128,64,32,80.62,0.6298,12.25,A100-80GB,15
256,64,32,71.29,0.2785,12.29,A100-80GB,15
150M:128,64,32,34.62,0.2704,39.87,A100-80GB,15
150M:256,64,32,32.89,0.1285,39.92,A100-80GB,15
150M:256,tok16384,32,31.59,0.1234,75.27,A100-80GB,15
150M:128,tok8192,32,32.77,0.256,39.23,A100-80GB,15
150M:128,tok12288,16,33.87,0.2646,55.56,A100-80GB,15
