arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
esm2_dense,family,0.4,164,0.4634,"[0.3841, 0.5427]",0.7378,"[0.6707, 0.8049]",0.3334,"[0.2881, 0.3817]"
esm2_dense,family,0.5,287,0.5052,"[0.4460, 0.5610]",0.7561,"[0.7038, 0.8049]",0.3784,"[0.3404, 0.4160]"
esm2_dense,family,0.7,479,0.4843,"[0.4405, 0.5282]",0.7432,"[0.7035, 0.7829]",0.3836,"[0.3527, 0.4146]"
esm2_dense,family,1.01,1693,0.4991,"[0.4755, 0.5227]",0.7602,"[0.7395, 0.7803]",0.4214,"[0.4048, 0.4383]"
esm2_late,family,0.4,164,0.7012,"[0.6280, 0.7683]",0.939,"[0.9024, 0.9695]",0.6756,"[0.6259, 0.7241]"
esm2_late,family,0.5,287,0.7108,"[0.6585, 0.7631]",0.9373,"[0.9094, 0.9652]",0.686,"[0.6488, 0.7229]"
esm2_late,family,0.7,479,0.7244,"[0.6827, 0.7641]",0.9311,"[0.9061, 0.9520]",0.6859,"[0.6567, 0.7148]"
esm2_late,family,1.01,1693,0.7419,"[0.7206, 0.7626]",0.9421,"[0.9303, 0.9527]",0.698,"[0.6828, 0.7127]"
esm2_late@0,family,0.4,164,0.5,"[0.4207, 0.5793]",0.7866,"[0.7256, 0.8476]",0.4416,"[0.3865, 0.4964]"
esm2_late@0,family,0.5,287,0.5645,"[0.5087, 0.6202]",0.8049,"[0.7561, 0.8502]",0.5029,"[0.4599, 0.5451]"
esm2_late@0,family,0.7,479,0.5574,"[0.5115, 0.6013]",0.7933,"[0.7578, 0.8288]",0.5141,"[0.4802, 0.5484]"
esm2_late@0,family,1.01,1693,0.567,"[0.5428, 0.5901]",0.7755,"[0.7555, 0.7950]",0.5249,"[0.5060, 0.5433]"
esm2_late@1000,family,0.4,164,0.6707,"[0.5976, 0.7439]",0.9329,"[0.8902, 0.9695]",0.6576,"[0.6078, 0.7060]"
esm2_late@1000,family,0.5,287,0.6864,"[0.6341, 0.7387]",0.9338,"[0.9024, 0.9617]",0.669,"[0.6315, 0.7064]"
esm2_late@1000,family,0.7,479,0.714,"[0.6722, 0.7537]",0.929,"[0.9040, 0.9520]",0.6722,"[0.6422, 0.7012]"
esm2_late@1000,family,1.01,1693,0.7354,"[0.7141, 0.7561]",0.9403,"[0.9285, 0.9516]",0.6903,"[0.6750, 0.7053]"
esm2_late@1250,family,0.4,164,0.6829,"[0.6098, 0.7561]",0.9329,"[0.8902, 0.9695]",0.6658,"[0.6164, 0.7139]"
esm2_late@1250,family,0.5,287,0.6969,"[0.6446, 0.7491]",0.9338,"[0.9024, 0.9617]",0.6769,"[0.6394, 0.7133]"
esm2_late@1250,family,0.7,479,0.7182,"[0.6764, 0.7578]",0.929,"[0.9040, 0.9520]",0.6799,"[0.6504, 0.7085]"
esm2_late@1250,family,1.01,1693,0.7401,"[0.7188, 0.7608]",0.9386,"[0.9268, 0.9498]",0.693,"[0.6777, 0.7080]"
esm2_late@1500,family,0.4,164,0.7012,"[0.6280, 0.7683]",0.939,"[0.9024, 0.9695]",0.6731,"[0.6234, 0.7214]"
esm2_late@1500,family,0.5,287,0.7108,"[0.6585, 0.7631]",0.9373,"[0.9094, 0.9652]",0.684,"[0.6467, 0.7208]"
esm2_late@1500,family,0.7,479,0.7286,"[0.6868, 0.7683]",0.929,"[0.9040, 0.9520]",0.6858,"[0.6563, 0.7144]"
esm2_late@1500,family,1.01,1693,0.7437,"[0.7224, 0.7643]",0.9386,"[0.9268, 0.9498]",0.6976,"[0.6823, 0.7124]"
esm2_late@1750,family,0.4,164,0.7012,"[0.6280, 0.7683]",0.939,"[0.9024, 0.9695]",0.6756,"[0.6258, 0.7240]"
esm2_late@1750,family,0.5,287,0.7108,"[0.6585, 0.7631]",0.9373,"[0.9094, 0.9652]",0.6859,"[0.6488, 0.7229]"
esm2_late@1750,family,0.7,479,0.7244,"[0.6827, 0.7641]",0.9311,"[0.9061, 0.9520]",0.6862,"[0.6569, 0.7152]"
esm2_late@1750,family,1.01,1693,0.7419,"[0.7206, 0.7626]",0.9421,"[0.9303, 0.9527]",0.698,"[0.6827, 0.7128]"
esm2_late@2000,family,0.4,164,0.7012,"[0.6280, 0.7683]",0.939,"[0.9024, 0.9695]",0.6756,"[0.6259, 0.7241]"
esm2_late@2000,family,0.5,287,0.7108,"[0.6585, 0.7631]",0.9373,"[0.9094, 0.9652]",0.686,"[0.6488, 0.7229]"
esm2_late@2000,family,0.7,479,0.7244,"[0.6827, 0.7641]",0.9311,"[0.9061, 0.9520]",0.6859,"[0.6567, 0.7148]"
esm2_late@2000,family,1.01,1693,0.7419,"[0.7206, 0.7626]",0.9421,"[0.9303, 0.9527]",0.698,"[0.6828, 0.7127]"
esm2_late@250,family,0.4,164,0.6402,"[0.5671, 0.7134]",0.878,"[0.8293, 0.9268]",0.5589,"[0.5042, 0.6122]"
esm2_late@250,family,0.5,287,0.6655,"[0.6098, 0.7213]",0.9024,"[0.8676, 0.9338]",0.5925,"[0.5524, 0.6327]"
esm2_late@250,family,0.7,479,0.6576,"[0.6138, 0.6994]",0.8956,"[0.8685, 0.9228]",0.5948,"[0.5629, 0.6259]"
esm2_late@250,family,1.01,1693,0.6875,"[0.6651, 0.7094]",0.8872,"[0.8718, 0.9019]",0.6236,"[0.6065, 0.6404]"
esm2_late@500,family,0.4,164,0.6646,"[0.5915, 0.7378]",0.9207,"[0.8780, 0.9573]",0.6151,"[0.5635, 0.6656]"
esm2_late@500,family,0.5,287,0.669,"[0.6132, 0.7247]",0.9199,"[0.8850, 0.9477]",0.6343,"[0.5957, 0.6725]"
esm2_late@500,family,0.7,479,0.7015,"[0.6597, 0.7432]",0.9186,"[0.8935, 0.9415]",0.6457,"[0.6147, 0.6759]"
esm2_late@500,family,1.01,1693,0.7218,"[0.7005, 0.7431]",0.9209,"[0.9073, 0.9333]",0.666,"[0.6500, 0.6817]"
