Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
GrimSqueaker/ProtSent-V2-35M,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.51847,0.51407,6.93345,2.04529,0.1061,0.01247,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00329,0.96503,0.86857,0.87571,0.94461,0.96413,,,,
GrimSqueaker/ProtSent-V2-35M,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00633,0.84277,0.83904,0.83887,0.67809,,0.86352,0.88753,0.86909,
GrimSqueaker/ProtSent-V2-35M,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.37796,0.39092,0.23085,0.34356,0.0418,0.00506,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,233.26238,0.55112,0.59308,,,,,,,0.77417
GrimSqueaker/ProtSent-V2-35M,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.66526,0.67636,14.46776,2.64396,0.41893,0.00327,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.45658,0.48928,1.53764,0.91514,-0.62018,0.00484,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01437,0.75308,0.6964,0.69039,0.39517,,0.82758,0.76566,0.84471,
GrimSqueaker/ProtSent-V2-35M,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00202,0.7515,0.7515,0.7515,0.50302,,0.75243,0.81625,0.77756,
GrimSqueaker/ProtSent-V2-35M,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.57339,0.63061,0.83993,0.63266,0.36988,0.00172,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Peptide-HLA Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01182,0.74863,0.74715,0.75014,0.50758,,0.76649,0.80191,0.73199,
GrimSqueaker/ProtSent-V2-35M,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00124,0.90801,0.89791,0.92016,0.80436,,0.93002,0.96447,0.97686,
GrimSqueaker/ProtSent-V2-35M,Remote Homology (Fold),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00469,0.66677,0.4088,0.49564,0.66299,0.65166,,,,
GrimSqueaker/ProtSent-V2-35M,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00464,0.98073,0.96458,0.96458,0.92915,,0.94065,0.98532,0.95156,
GrimSqueaker/ProtSent-V2-35M,Solubility (DeepSol),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01292,0.54123,0.53769,0.54119,0.08365,,0.49726,0.54253,0.52943,
GrimSqueaker/ProtSent-V2-35M,Stability (Biomap),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.60014,0.56433,0.15782,0.3032,0.05522,0.00921,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Subcellular Localisation,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00226,0.67427,0.53569,0.52146,0.59847,0.67265,,0.83234,,
GrimSqueaker/ProtSent-V2-35M,Temperature Stability,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.05652,0.87909,0.87909,0.87977,0.75932,0.87911,,,,
GrimSqueaker/ProtSent-V2-35M,Thermostability (FLIP),Full,2026-08-27,knn,standard,test,test_random_split,none,470d637,42,0.44959,0.45784,0.03646,0.15099,0.13854,0.00206,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Variant Effect (GB1),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.77847,0.75362,0.68202,0.55559,0.53067,0.00222,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,beta-lactamase-PEER,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.70598,0.78616,0.0396,0.13494,0.61614,0.0016,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,PPI (Bernett Gold Standard),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.06558,0.56277,0.56254,0.56277,0.12567,,0.57253,0.58316,0.55804,
GrimSqueaker/ProtSent-V2-35M,RhlA Enzyme Mutations,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.48627,0.46796,0.156,0.29289,-1.92288,0.00065,,,,,,,,,
