Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.48339,0.47211,7.76275,2.18122,-0.00082,0.02743,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00354,0.95685,0.83898,0.85678,0.93165,0.95583,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00526,0.83762,0.83239,0.82982,0.666,,0.862,0.88261,0.86559,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.40184,0.40982,0.22519,0.33786,0.06529,0.00889,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,458.00555,0.57668,0.59532,,,,,,,0.79381
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.6727,0.6761,14.30268,2.62216,0.42556,0.00405,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.44815,0.48169,1.57437,0.9321,-0.65888,0.01148,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00844,0.76456,0.7069,0.6986,0.41813,,0.8369,0.77504,0.84917,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00286,0.71396,0.71383,0.71396,0.42833,,0.72006,0.77896,0.74114,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.54968,0.60819,0.88301,0.65801,0.33757,0.00273,,,,,,,,,
