Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.52406,0.52273,6.85769,2.02413,0.11586,0.02804,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00154,0.95685,0.85867,0.84725,0.93147,0.95482,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00253,0.85134,0.84668,0.84421,0.6944,,0.87342,0.89259,0.87573,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.38985,0.40376,0.22749,0.33834,0.05576,0.01325,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,262.32512,0.54551,0.58544,,,,,,,0.7675
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.67186,0.68268,14.20083,2.62922,0.42965,0.00879,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.46038,0.48657,1.56849,0.92998,-0.65268,0.01394,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01765,0.75266,0.69439,0.68772,0.39182,,0.82784,0.7587,0.83959,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00254,0.74099,0.74075,0.74099,0.4829,,0.74873,0.79559,0.75069,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.56037,0.62824,0.8452,0.63442,0.36593,0.00479,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Peptide-HLA Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01511,0.74352,0.74189,0.74507,0.49783,,0.7624,0.79705,0.72724,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00287,0.91098,0.901,0.92231,0.8098,,0.93243,0.95839,0.97358,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Remote Homology (Fold),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.02494,0.64457,0.36949,0.4492,0.64042,0.63463,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.0112,0.97905,0.96122,0.95819,0.92249,,0.93493,0.98447,0.94966,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Solubility (DeepSol),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01562,0.54073,0.53673,0.54068,0.0828,,0.49366,0.55708,0.53699,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Stability (Biomap),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.61298,0.58299,0.13857,0.28599,0.17044,0.01046,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Subcellular Localisation,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00461,0.66992,0.51077,0.50197,0.59267,0.6657,,0.82211,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Temperature Stability,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.05877,0.88468,0.88467,0.88527,0.77026,0.8847,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Thermostability (FLIP),Full,2026-08-27,knn,standard,test,test_random_split,none,470d637,42,0.45797,0.46142,0.03573,0.14991,0.15587,0.00177,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,Variant Effect (GB1),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.79158,0.77332,0.64039,0.53885,0.55932,0.00178,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000-dense,beta-lactamase-PEER,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.70812,0.77652,0.04122,0.13705,0.60039,0.00122,,,,,,,,,
