Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.5065,0.50794,7.1152,2.05973,0.08266,0.01168,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00432,0.95461,0.8645,0.85221,0.92799,0.95317,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00241,0.82104,0.81654,0.81593,0.63314,,0.84528,0.86795,0.85149,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.3975,0.41052,0.22487,0.33716,0.06664,0.00573,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,300.03578,0.52681,0.56339,,,,,,,0.76225
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.67456,0.67913,14.25835,2.61531,0.42734,0.00348,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.47878,0.51093,1.47881,0.89293,-0.55819,0.00556,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00657,0.7608,0.70636,0.70024,0.41491,,0.8328,0.77195,0.84778,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00233,0.73198,0.73198,0.73198,0.46398,,0.73298,0.78516,0.74305,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.5392,0.59317,0.90691,0.66361,0.31963,0.00209,,,,,,,,,
