Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
facebook/esm2_t30_150M_UR50D,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.44696,0.43226,8.11056,2.20919,-0.04566,0.02971,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00336,0.96801,0.86392,0.86008,0.94949,0.9675,,,,
facebook/esm2_t30_150M_UR50D,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00292,0.8502,0.84569,0.84357,0.69214,,0.87207,0.89793,0.88199,
facebook/esm2_t30_150M_UR50D,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.37975,0.38688,0.23001,0.35608,0.04527,0.01663,,,,,,,,,
facebook/esm2_t30_150M_UR50D,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,499.29982,0.6515,0.64805,,,,,,,0.82811
facebook/esm2_t30_150M_UR50D,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.70397,0.70317,13.16458,2.52569,0.47127,0.00388,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.38171,0.41373,1.68815,1.01471,-0.77877,0.00587,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00727,0.75663,0.69197,0.68229,0.39147,,0.83309,0.75924,0.83983,
facebook/esm2_t30_150M_UR50D,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00268,0.73498,0.73498,0.73498,0.46997,,0.73439,0.79592,0.75725,
facebook/esm2_t30_150M_UR50D,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.56529,0.6498,0.7982,0.62639,0.40119,0.0027,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Peptide-HLA Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.0166,0.70081,0.69857,0.70247,0.41234,,0.72456,0.75199,0.68515,
facebook/esm2_t30_150M_UR50D,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00213,0.93769,0.92931,0.94171,0.86115,,0.95364,0.97757,0.98457,
facebook/esm2_t30_150M_UR50D,Remote Homology (Fold),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00929,0.51973,0.27464,0.32306,0.51378,0.49573,,,,
facebook/esm2_t30_150M_UR50D,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00583,0.97905,0.96079,0.9528,0.92191,,0.93404,0.97988,0.94819,
facebook/esm2_t30_150M_UR50D,Solubility (DeepSol),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01579,0.53523,0.52719,0.53517,0.07285,,0.46552,0.54887,0.52827,
facebook/esm2_t30_150M_UR50D,Stability (Biomap),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.6498,0.62873,0.12873,0.27413,0.22938,0.0126,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Subcellular Localisation,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00263,0.64984,0.53556,0.51551,0.56592,0.64599,,0.82007,,
facebook/esm2_t30_150M_UR50D,Temperature Stability,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.07145,0.91005,0.90995,0.90989,0.8199,0.91004,,,,
facebook/esm2_t30_150M_UR50D,Thermostability (FLIP),Full,2026-08-27,knn,standard,test,test_random_split,none,470d637,42,0.46988,0.48334,0.0356,0.14912,0.15889,0.00337,,,,,,,,,
facebook/esm2_t30_150M_UR50D,Variant Effect (GB1),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.68026,0.66001,0.94602,0.69816,0.349,0.00275,,,,,,,,,
facebook/esm2_t30_150M_UR50D,beta-lactamase-PEER,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.7793,0.82517,0.03316,0.12216,0.6785,0.00227,,,,,,,,,
