Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
GrimSqueaker/ProtSent-V2-35M,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.3354,0.24823,20.46332,2.95031,-1.63826,0.28804,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.2563,0.96726,0.87135,0.86378,0.94795,0.96626,,,,
GrimSqueaker/ProtSent-V2-35M,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.14147,0.84677,0.84322,0.84322,0.68645,,0.8668,0.90968,0.91298,
GrimSqueaker/ProtSent-V2-35M,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.42567,0.4342,0.19564,0.38932,0.18797,0.28004,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,288.73781,0.55112,0.59308,,,,,,,0.77417
GrimSqueaker/ProtSent-V2-35M,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.50015,0.50768,18.64992,3.29989,0.25096,0.13771,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.58908,0.60688,1.08282,0.7701,-0.14094,0.22151,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.63562,0.7798,0.714,0.69966,0.4431,,0.85118,0.82255,0.90764,
GrimSqueaker/ProtSent-V2-35M,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.1382,0.68769,0.68765,0.68769,0.37546,,0.69094,0.74743,0.74052,
GrimSqueaker/ProtSent-V2-35M,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.48492,0.58041,0.88617,0.69712,0.33519,0.06723,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.07492,0.77802,0.77801,0.77833,0.5568,,0.77922,0.85334,0.8286,
GrimSqueaker/ProtSent-V2-35M,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.05192,0.92285,0.91143,0.9179,0.82361,,0.94323,0.95963,0.97904,
GrimSqueaker/ProtSent-V2-35M,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,21.79954,0.68311,0.41673,0.49612,0.67945,0.66735,,,,
GrimSqueaker/ProtSent-V2-35M,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.27987,0.98362,0.96967,0.9663,0.9394,,0.9491,0.99587,0.98329,
GrimSqueaker/ProtSent-V2-35M,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,1.44436,0.63168,0.6195,0.63159,0.28179,,0.55143,0.69767,0.68479,
GrimSqueaker/ProtSent-V2-35M,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.38876,0.42532,0.29315,0.45043,-0.75492,0.46469,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.57191,0.67264,0.5216,0.52011,0.59646,0.66923,,0.8867,,
GrimSqueaker/ProtSent-V2-35M,Temperature Stability,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,5.31093,0.89714,0.89707,0.89719,0.79418,0.89715,,,,
GrimSqueaker/ProtSent-V2-35M,Thermostability (FLIP),Full,2026-08-27,linear,standard,test,test_random_split,none,470d637,42,0.54856,0.54769,0.03004,0.13861,0.29018,0.03837,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,Variant Effect (GB1),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.84624,0.81753,0.48211,0.52428,0.66823,0.044,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,beta-lactamase-PEER,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.63539,0.7254,0.04923,0.16962,0.52277,0.03138,,,,,,,,,
GrimSqueaker/ProtSent-V2-35M,PPI (Bernett Gold Standard),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,7.84851,0.53214,0.53003,0.53214,0.06487,,0.49855,0.54942,0.53368,
GrimSqueaker/ProtSent-V2-35M,RhlA Enzyme Mutations,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.38765,0.38327,0.28521,0.41307,-4.3439,0.01054,,,,,,,,,
