Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.42331,0.36538,27.32245,3.69574,-2.52258,0.31342,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.36714,0.97321,0.89431,0.88356,0.95758,0.97258,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.21663,0.87193,0.86901,0.86914,0.73802,,0.88856,0.93648,0.94478,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.47091,0.47747,0.18625,0.373,0.22693,0.35923,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,452.44793,0.57668,0.59532,,,,,,,0.79381
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.55981,0.55794,17.3323,3.15123,0.30388,0.23112,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.61714,0.66033,0.91728,0.71679,0.03349,0.33986,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,1.16526,0.78773,0.72834,0.71479,0.46765,,0.85535,0.84569,0.92303,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.21908,0.71021,0.71019,0.71021,0.42047,,0.70802,0.78376,0.79837,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.51067,0.60751,0.84814,0.6872,0.36372,0.11756,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,3.83464,0.79836,0.79835,0.79871,0.59764,,0.79986,0.87099,0.84685,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.11055,0.95252,0.94466,0.94466,0.88933,,0.96552,0.9897,0.99553,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,51.54673,0.6902,0.38845,0.47543,0.68652,0.67249,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.76128,0.9829,0.96865,0.97006,0.93732,,0.94752,0.99455,0.98062,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.97602,0.65967,0.65016,0.65959,0.33803,,0.59246,0.74297,0.74029,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.64309,0.62775,0.21066,0.39615,-0.26112,0.75271,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.93974,0.73561,0.59061,0.58238,0.67287,0.73053,,0.93103,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Temperature Stability,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,13.24131,0.91914,0.9191,0.91931,0.83832,0.91916,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Thermostability (FLIP),Full,2026-08-27,linear,standard,test,test_random_split,none,470d637,42,0.56839,0.55235,0.03026,0.13665,0.28514,0.07088,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,Variant Effect (GB1),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.85001,0.82716,0.4618,0.51856,0.68222,0.08414,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,beta-lactamase-PEER,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.71188,0.77934,0.04107,0.15259,0.60185,0.05447,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,PPI (Bernett Gold Standard),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,14.38324,0.5214,0.51688,0.5214,0.04363,,0.47014,0.53284,0.51999,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000-dense,RhlA Enzyme Mutations,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.47022,0.47076,0.25352,0.39578,-3.75015,0.01709,,,,,,,,,
