Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.42026,0.37627,21.78293,3.36915,-1.80839,0.25259,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.3809,0.97247,0.89609,0.88507,0.95628,0.97185,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.1632,0.84162,0.83837,0.83928,0.67688,,0.86129,0.92173,0.93321,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.45079,0.45896,0.19069,0.37694,0.20851,0.29215,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,437.78217,0.5904,0.59271,,,,,,,0.80041
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.55651,0.55554,17.3295,3.13731,0.30399,0.16396,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.60199,0.64777,0.91265,0.72178,0.03836,0.47112,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,1.15471,0.78355,0.72451,0.712,0.45843,,0.85205,0.83995,0.92211,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.20711,0.69745,0.69741,0.69745,0.395,,0.70082,0.76281,0.77055,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.50992,0.60755,0.84478,0.69212,0.36624,0.09588,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,4.1553,0.8024,0.80238,0.80283,0.60607,,0.8047,0.87315,0.8512,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.08078,0.94659,0.93775,0.93775,0.87549,,0.96121,0.97939,0.98535,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,43.00833,0.70993,0.44221,0.52454,0.70655,0.69642,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.97042,0.9841,0.97078,0.97078,0.94155,,0.95104,0.99542,0.98246,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,4.50571,0.64018,0.62993,0.6401,0.29708,,0.56835,0.7124,0.71323,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.58021,0.57323,0.23564,0.41835,-0.41062,1.45975,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.87961,0.73073,0.59998,0.59126,0.66732,0.72631,,0.91821,,
