Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.54096,0.52119,10.78862,2.39371,-0.39094,0.18056,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.33009,0.96875,0.84234,0.87156,0.95042,0.9681,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.13506,0.87879,0.87567,0.87475,0.75146,,0.89536,0.93088,0.93328,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.44482,0.45563,0.19152,0.37722,0.20507,0.20247,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,294.83501,0.52681,0.56339,,,,,,,0.76225
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.53455,0.5372,17.78706,3.22717,0.28562,0.16051,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.60586,0.65263,0.90808,0.71914,0.04317,0.21244,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.87767,0.78209,0.72203,0.70938,0.45402,,0.85124,0.83966,0.92125,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.16774,0.67568,0.67566,0.67568,0.35138,,0.67372,0.73045,0.74135,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.50289,0.59002,0.87343,0.698,0.34475,0.0661,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.10029,0.8118,0.8118,0.8121,0.62429,,0.81251,0.88432,0.86066,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.07962,0.92878,0.91784,0.92221,0.83602,,0.94783,0.97664,0.98659,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,43.11984,0.65691,0.37255,0.44214,0.65291,0.64382,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.56654,0.9841,0.97067,0.96898,0.94135,,0.95082,0.9938,0.98082,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.83586,0.65417,0.64444,0.65409,0.32651,,0.58563,0.7282,0.7162,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.62978,0.6183,0.28136,0.45116,-0.68435,0.61954,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.88441,0.70141,0.55328,0.54472,0.63082,0.69567,,0.91673,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Temperature Stability,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,13.22916,0.90503,0.90497,0.90512,0.81,0.90505,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Thermostability (FLIP),Full,2026-08-27,linear,standard,test,test_random_split,none,470d637,42,0.55372,0.54482,0.03023,0.13777,0.28588,0.05068,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,Variant Effect (GB1),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.85046,0.82561,0.46425,0.51465,0.68053,0.06519,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,beta-lactamase-PEER,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.67453,0.71929,0.05136,0.17102,0.5021,0.04501,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,PPI (Bernett Gold Standard),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,10.99913,0.53541,0.53271,0.53541,0.07165,,0.49722,0.55931,0.53935,
/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000-dense,RhlA Enzyme Mutations,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.45107,0.4945,0.18122,0.33365,-2.39541,0.01492,,,,,,,,,
