Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
facebook/esm2_t12_35M_UR50D,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.56989,0.51111,11.41426,2.25056,-0.4716,0.23051,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.33298,0.97247,0.89782,0.88431,0.95637,0.97171,,,,
facebook/esm2_t12_35M_UR50D,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.15085,0.89651,0.89395,0.89333,0.78794,,0.91044,0.95749,0.96416,
facebook/esm2_t12_35M_UR50D,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.47814,0.47746,0.1865,0.37772,0.22587,0.2544,,,,,,,,,
facebook/esm2_t12_35M_UR50D,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,364.80712,0.59227,0.59639,,,,,,,0.79074
facebook/esm2_t12_35M_UR50D,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.54545,0.5404,17.74551,3.19615,0.28728,0.14941,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.59191,0.62727,0.98142,0.74805,-0.0341,0.24133,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.98958,0.78314,0.72135,0.70776,0.45467,,0.85256,0.83942,0.9209,
facebook/esm2_t12_35M_UR50D,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.19384,0.71547,0.71543,0.71547,0.43104,,0.71222,0.79066,0.79278,
facebook/esm2_t12_35M_UR50D,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.48582,0.60127,0.85461,0.68462,0.35887,0.08017,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.42383,0.78456,0.78455,0.78491,0.57004,,0.78621,0.85878,0.82593,
facebook/esm2_t12_35M_UR50D,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.09054,0.93769,0.92864,0.93649,0.85832,,0.95405,0.97475,0.97928,
facebook/esm2_t12_35M_UR50D,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,48.75751,0.64612,0.3558,0.42437,0.64192,0.63425,,,,
facebook/esm2_t12_35M_UR50D,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.65046,0.98531,0.97284,0.9703,0.94572,,0.95444,0.99411,0.98111,
facebook/esm2_t12_35M_UR50D,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,2.71715,0.62919,0.61755,0.6291,0.27545,,0.55085,0.69654,0.66425,
facebook/esm2_t12_35M_UR50D,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.43745,0.42037,0.23907,0.40997,-0.43115,0.61077,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.81338,0.71118,0.55921,0.55181,0.64235,0.70605,,0.91124,,
facebook/esm2_t12_35M_UR50D,Temperature Stability,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,14.90697,0.898,0.89787,0.89777,0.79578,0.89798,,,,
facebook/esm2_t12_35M_UR50D,Thermostability (FLIP),Full,2026-08-27,linear,standard,test,test_random_split,none,470d637,42,0.56728,0.56208,0.02918,0.13621,0.3106,0.05601,,,,,,,,,
facebook/esm2_t12_35M_UR50D,Variant Effect (GB1),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.84371,0.81153,0.4966,0.53386,0.65827,0.06405,,,,,,,,,
facebook/esm2_t12_35M_UR50D,beta-lactamase-PEER,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.73457,0.80559,0.03627,0.14727,0.64843,0.03775,,,,,,,,,
facebook/esm2_t12_35M_UR50D,PPI (Bernett Gold Standard),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,10.83835,0.53483,0.5333,0.53483,0.07013,,0.50655,0.55157,0.53012,
facebook/esm2_t12_35M_UR50D,RhlA Enzyme Mutations,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.35284,0.39243,0.25934,0.38052,-3.8592,0.01072,,,,,,,,,
