aggregation,cap,ci95,corrected_average,dataset_revision,kind,mean_score,metric,model,n_assays,n_boot,n_variants_dropped_truncated,n_variants_scored,path,proj_dim,runtime_s,scoring,variant,model_revision
per_group_mean,0,"[0.3263, 0.3703]",0.3349,unpinned,zeroshot,0.3472560817114341,spearman,esm2_zeroshot,214,1000,3675,2459339,facebook/esm2_t12_35M_UR50D,0,3379.3,maxsim,dms_substitutions,
per_group_mean,0,"[0.3360, 0.3817]",0.3354,unpinned,zeroshot,0.357637688374967,spearman,esm2_150m_zeroshot,214,1000,3675,2459339,facebook/esm2_t30_150M_UR50D,0,6611.8,maxsim,dms_substitutions,
per_group_mean,0,"[0.5478, 0.6408]",,unpinned,zeroshot,0.5933363149315009,spearman,esm2_150m_zeroshot,66,1000,0,287207,facebook/esm2_t30_150M_UR50D,0,1689.8,maxsim,dms_indels,a695f6045e2e32885fa60af20c13cb35398ce30c
per_group_mean,0,"[0.3041, 0.3464]",0.3137,unpinned,zeroshot,0.3235748777619754,spearman,protsent_v2_zeroshot,214,1000,3675,2459339,GrimSqueaker/ProtSent-V2-35M,0,3456.7,maxsim,dms_substitutions,
per_group_mean,0,"[0.3117, 0.3568]",0.3251,unpinned,zeroshot,0.3326673583389892,spearman,protsent_v2_150m_zeroshot,214,1000,3675,2459339,GrimSqueaker/ProtSent-V2-150M,0,6653.5,maxsim,dms_substitutions,
per_group_mean,0,"[0.5091, 0.5945]",,unpinned,zeroshot,0.5508014470537584,spearman,protsent_v2_150m_zeroshot,66,1000,0,287207,GrimSqueaker/ProtSent-V2-150M,0,1703.7,maxsim,dms_indels,efb72b0357f8ba7de9e9f626599cbd32653c82f1
per_group_mean,0,"[0.3302, 0.3731]",0.3464,unpinned,late,0.3509112577044929,spearman,late-r2-esm2-150m_s10000,214,1000,3675,2459339,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000,-1,6580.3,maxsim,dms_substitutions,
per_group_mean,0,"[0.3278, 0.3724]",0.3426,unpinned,late,0.3493026521508339,spearman,late-r2-protsentv2-150m_s10000,214,1000,3675,2459339,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000,-1,6586.2,maxsim,dms_substitutions,
per_group_mean,0,"[0.3089, 0.3510]",0.3193,unpinned,late,0.3284063912786869,spearman,vanilla35m_clean_s10000,214,1000,3675,2459339,/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000,-1,3391.2,maxsim,dms_substitutions,
per_group_mean,0,"[0.4887, 0.5788]",,unpinned,late,0.5317100465546809,spearman,late-r2-esm2-150m_s10000,66,1000,0,287207,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-esm2-150m/snapshots/step-10000,-1,1531.8,maxsim,dms_indels,
per_group_mean,0,"[0.4951, 0.5812]",,unpinned,late,0.5377858220262081,spearman,late-r2-protsentv2-150m_s10000,66,1000,0,287207,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000,-1,1517.8,maxsim,dms_indels,
per_group_mean,0,"[0.4608, 0.5419]",,unpinned,late,0.500972404624462,spearman,vanilla35m_clean_s10000,66,1000,0,287207,/opt/hpc/ddofer/ProtSent/models/late_interaction/vanilla35m_clean/snapshots/step-10000,-1,751.7,maxsim,dms_indels,
per_group_mean,0,"[0.3219, 0.3638]",0.3284,unpinned,late,0.3415380949963815,spearman,late-r2-protsentv2-35m_s10000,214,1000,3675,2459339,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000,-1,3365.0,maxsim,dms_substitutions,
per_group_mean,0,"[0.4997, 0.5831]",,unpinned,zeroshot,0.5408449839963978,spearman,esm2_zeroshot,66,1000,0,287207,facebook/esm2_t12_35M_UR50D,0,798.1,maxsim,dms_indels,
per_group_mean,0,"[0.4857, 0.5603]",,unpinned,late,0.5232762661931722,spearman,late-r2-protsentv2-35m_s10000,66,1000,0,287207,/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-35m/snapshots/step-10000,-1,790.0,maxsim,dms_indels,
per_group_mean,0,"[0.4878, 0.5637]",,unpinned,zeroshot,0.5240446517324646,spearman,protsent_v2_zeroshot,66,1000,0,287207,GrimSqueaker/ProtSent-V2-35M,0,814.6,maxsim,dms_indels,
